@relation car-weka.filters.unsupervised.attribute.ReplaceWithMissingValue-Rfirst-last-S1-P0.1-unset-class-temporarily

@attribute buying {vhigh,high,med,low}
@attribute maint {vhigh,high,med,low}
@attribute doors {2,3,4,5more}
@attribute persons {2,4,more}
@attribute lug_boot {small,med,big}
@attribute safety {low,med,high}
@attribute class {unacc,acc,good,vgood}

@data

vhigh,vhigh,2,2,small,?,unacc
vhigh,vhigh,2,2,small,med,unacc
vhigh,vhigh,2,2,small,high,unacc
vhigh,?,2,2,med,low,unacc
vhigh,vhigh,2,2,?,med,unacc
vhigh,vhigh,2,2,med,high,unacc
vhigh,?,2,2,big,low,unacc
vhigh,vhigh,2,2,big,med,unacc
vhigh,vhigh,2,2,big,high,unacc
vhigh,vhigh,2,4,small,low,unacc
vhigh,vhigh,2,4,small,med,unacc
vhigh,vhigh,2,?,small,high,unacc
vhigh,vhigh,2,4,med,low,unacc
vhigh,vhigh,2,?,med,?,unacc
?,?,2,4,med,high,unacc
vhigh,vhigh,2,4,big,low,unacc
vhigh,vhigh,?,4,big,med,?
vhigh,vhigh,2,?,big,high,unacc
vhigh,vhigh,2,more,small,low,unacc
?,vhigh,2,more,small,med,unacc
vhigh,vhigh,2,more,small,high,unacc
vhigh,vhigh,2,more,med,low,?
vhigh,vhigh,2,more,med,?,unacc
vhigh,vhigh,2,more,med,high,unacc
vhigh,vhigh,2,?,big,low,unacc
vhigh,vhigh,2,more,big,med,unacc
vhigh,vhigh,2,more,big,high,unacc
vhigh,vhigh,3,2,small,low,unacc
vhigh,vhigh,?,2,small,med,unacc
vhigh,vhigh,3,2,small,?,unacc
?,vhigh,3,?,med,low,unacc
vhigh,vhigh,3,2,med,med,unacc
vhigh,?,3,2,med,high,unacc
vhigh,vhigh,3,2,?,low,unacc
vhigh,vhigh,3,2,big,med,unacc
vhigh,?,3,2,?,?,?
vhigh,vhigh,3,4,small,?,unacc
vhigh,vhigh,3,4,small,med,unacc
vhigh,?,3,4,small,?,unacc
vhigh,vhigh,3,4,med,low,unacc
vhigh,vhigh,3,4,?,med,unacc
vhigh,vhigh,?,?,med,high,unacc
vhigh,vhigh,3,4,big,low,?
vhigh,vhigh,3,4,big,?,unacc
vhigh,vhigh,3,4,?,high,unacc
vhigh,vhigh,3,more,small,low,unacc
vhigh,vhigh,3,more,small,med,unacc
vhigh,vhigh,3,more,small,high,unacc
vhigh,?,3,?,med,low,?
vhigh,vhigh,3,more,med,med,unacc
vhigh,?,3,more,med,high,unacc
vhigh,vhigh,3,more,big,low,unacc
vhigh,vhigh,3,more,big,med,unacc
vhigh,vhigh,3,more,big,high,unacc
vhigh,vhigh,4,2,?,low,unacc
vhigh,vhigh,4,2,small,med,unacc
vhigh,vhigh,4,2,small,high,unacc
vhigh,?,4,2,med,low,unacc
?,vhigh,4,2,med,med,unacc
vhigh,?,4,2,med,?,unacc
vhigh,vhigh,4,2,big,low,unacc
?,vhigh,4,2,big,med,unacc
vhigh,vhigh,4,2,big,high,unacc
vhigh,?,4,?,small,low,unacc
vhigh,vhigh,4,4,small,med,?
?,vhigh,4,4,?,high,unacc
vhigh,?,4,4,med,low,unacc
vhigh,vhigh,4,?,med,med,unacc
vhigh,vhigh,4,4,?,high,unacc
vhigh,?,4,?,big,low,unacc
vhigh,vhigh,4,4,big,med,unacc
?,vhigh,4,?,big,high,unacc
vhigh,vhigh,4,more,?,low,unacc
vhigh,vhigh,4,more,small,med,unacc
vhigh,vhigh,4,more,?,high,unacc
vhigh,vhigh,4,more,med,low,unacc
vhigh,vhigh,?,more,med,med,unacc
vhigh,vhigh,4,more,med,high,unacc
vhigh,vhigh,4,more,big,low,unacc
vhigh,vhigh,4,?,big,med,unacc
vhigh,vhigh,?,more,?,high,unacc
?,vhigh,5more,2,?,low,unacc
vhigh,vhigh,5more,2,small,med,unacc
?,vhigh,5more,2,small,high,unacc
vhigh,vhigh,5more,2,med,low,unacc
vhigh,vhigh,5more,2,med,med,unacc
